# STATION: KSJC
# STATION NAME: San Jose, San Jose International Airport
# LATITUDE: 37.35917
# LONGITUDE: -121.92417
# ELEVATION [ft]: 59
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,sea_level_pressure_set_1,precip_accum_one_hour_set_1,visibility_set_1,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,Pascals,Celsius,Celsius,%,m/s,Degrees,Pascals,Millimeters,Statute miles,Celsius,Pascals,Pascals
KSJC,12/30/2020 07:53 PST,102742.98,3.3,-1.1,72.85,0.0,0.0,102740.0,,10.0,-1.16,102524.83,102752.86
KSJC,12/30/2020 07:55 PST,102742.98,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/30/2020 08:00 PST,102742.98,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102524.83,102752.29
KSJC,12/30/2020 08:05 PST,102776.84,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102558.62,102786.15
KSJC,12/30/2020 08:10 PST,102810.71,4.0,,69.85,1.54,320.0,,,10.0,-1.07,102592.41,102820.02
KSJC,12/30/2020 08:15 PST,102776.84,4.0,,69.85,0.0,0.0,,,10.0,-1.07,102558.62,102786.15
KSJC,12/30/2020 08:20 PST,102810.71,5.0,,65.13,0.0,0.0,,,10.0,-1.08,102592.41,102819.2
KSJC,12/30/2020 08:25 PST,102810.71,5.0,,65.13,0.0,0.0,,,10.0,-1.08,102592.41,102819.2
KSJC,12/30/2020 08:30 PST,102844.57,5.0,,65.13,0.0,0.0,,,10.0,-1.08,102626.2,102853.06
KSJC,12/30/2020 08:35 PST,102878.44,5.0,,65.13,1.54,310.0,,,10.0,-1.08,102660.0,102886.94
KSJC,12/30/2020 08:40 PST,102912.3,5.0,,65.13,3.6,300.0,,,10.0,-1.08,102693.79,102920.8
KSJC,12/30/2020 08:45 PST,102912.3,6.0,,65.37,2.57,310.0,,,10.0,-0.08,102693.79,102919.99
KSJC,12/30/2020 08:50 PST,102912.3,6.0,,65.37,2.06,320.0,,,10.0,-0.08,102693.79,102919.99
KSJC,12/30/2020 08:53 PST,102912.3,6.1,0.0,64.92,2.57,310.0,102910.0,,10.0,-0.08,102693.79,102919.91
KSJC,12/30/2020 08:55 PST,102912.3,6.0,,65.37,2.57,320.0,,,10.0,-0.08,102693.79,102919.99
KSJC,12/30/2020 09:00 PST,102912.3,6.0,,65.37,1.54,330.0,,,10.0,-0.08,102693.79,102919.99
KSJC,12/30/2020 09:05 PST,102878.44,7.0,,56.72,0.0,0.0,,,10.0,-1.09,102660.0,102885.32
KSJC,12/30/2020 09:10 PST,102946.16,6.0,,60.77,1.54,300.0,,,10.0,-1.09,102727.58,102953.85
KSJC,12/30/2020 09:15 PST,102912.3,7.0,,61.02,1.54,320.0,,,10.0,-0.08,102693.79,102919.18
KSJC,12/30/2020 09:20 PST,102912.3,7.0,,56.72,0.0,0.0,,,10.0,-1.09,102693.79,102919.18
KSJC,12/30/2020 09:25 PST,102912.3,7.0,,56.72,1.54,270.0,,,10.0,-1.09,102693.79,102919.18
KSJC,12/30/2020 09:30 PST,102980.03,8.0,,52.98,2.57,280.0,,,10.0,-1.1,102761.37,102986.11
KSJC,12/30/2020 09:35 PST,102946.16,8.0,,52.98,2.57,260.0,,,10.0,-1.1,102727.58,102952.24
KSJC,12/30/2020 09:40 PST,102946.16,8.0,,52.98,1.54,280.0,,,10.0,-1.1,102727.58,102952.24
KSJC,12/30/2020 09:45 PST,102946.16,9.0,,49.51,2.57,290.0,,,10.0,-1.1,102727.58,102951.44
KSJC,12/30/2020 09:50 PST,102946.16,9.0,,57.25,3.09,320.0,,,10.0,0.91,102727.58,102951.44
KSJC,12/30/2020 09:53 PST,102912.3,8.9,1.1,58.06,2.57,320.0,102920.0,,10.0,1.01,102693.79,102917.66
KSJC,12/30/2020 09:55 PST,102946.16,8.0,,65.82,3.09,330.0,,,10.0,1.93,102727.58,102952.24
KSJC,12/30/2020 10:00 PST,102946.16,9.0,,61.51,2.57,320.0,,,10.0,1.92,102727.58,102951.44
KSJC,12/30/2020 10:05 PST,102946.16,9.0,,61.51,2.06,340.0,,,10.0,1.92,102727.58,102951.44
KSJC,12/30/2020 10:10 PST,102912.3,9.0,,61.51,1.54,330.0,,,10.0,1.92,102693.79,102917.58
KSJC,12/30/2020 10:15 PST,102912.3,9.0,,57.25,2.06,20.0,,,10.0,0.91,102693.79,102917.58
KSJC,12/30/2020 10:20 PST,102946.16,9.0,,57.25,1.54,360.0,,,10.0,0.91,102727.58,102951.44
KSJC,12/30/2020 10:25 PST,102912.3,9.0,,57.25,1.54,350.0,,,10.0,0.91,102693.79,102917.58
KSJC,12/30/2020 10:30 PST,102912.3,9.0,,57.25,0.0,0.0,,,10.0,0.91,102693.79,102917.58
KSJC,12/30/2020 10:35 PST,102912.3,10.0,,53.53,1.54,330.0,,,10.0,0.91,102693.79,102916.79
KSJC,12/30/2020 10:40 PST,102912.3,9.0,,57.25,1.54,330.0,,,10.0,0.91,102693.79,102917.58
KSJC,12/30/2020 10:45 PST,102878.44,9.0,,61.51,0.0,0.0,,,10.0,1.92,102660.0,102883.72
KSJC,12/30/2020 10:50 PST,102878.44,9.0,,61.51,0.0,0.0,,,10.0,1.92,102660.0,102883.72
KSJC,12/30/2020 10:53 PST,102878.44,9.4,1.7,58.61,0.0,0.0,102860.0,,10.0,1.62,102660.0,102883.4
KSJC,12/30/2020 10:55 PST,102878.44,10.0,,57.52,0.0,0.0,,,10.0,1.92,102660.0,102882.92
KSJC,12/30/2020 11:00 PST,102878.44,10.0,,57.52,1.54,40.0,,,10.0,1.92,102660.0,102882.92
KSJC,12/30/2020 11:05 PST,102844.57,10.0,,57.52,1.54,60.0,,,10.0,1.92,102626.2,102849.05
KSJC,12/30/2020 11:10 PST,102810.71,10.0,,57.52,1.54,90.0,,,10.0,1.92,102592.41,102815.19
KSJC,12/30/2020 11:15 PST,102810.71,10.0,,57.52,2.06,90.0,,,10.0,1.92,102592.41,102815.19
KSJC,12/30/2020 11:20 PST,102776.84,10.0,,57.52,1.54,80.0,,,10.0,1.92,102558.62,102781.32
KSJC,12/30/2020 11:25 PST,102776.84,11.0,,53.81,1.54,70.0,,,10.0,1.91,102558.62,102780.54
KSJC,12/30/2020 11:30 PST,102776.84,11.0,,53.81,0.0,0.0,,,10.0,1.91,102558.62,102780.54
KSJC,12/30/2020 11:35 PST,102776.84,11.0,,53.81,0.0,0.0,,,10.0,1.91,102558.62,102780.54
KSJC,12/30/2020 11:40 PST,102776.84,11.0,,53.81,2.06,330.0,,,10.0,1.91,102558.62,102780.54
KSJC,12/30/2020 11:45 PST,102776.84,11.0,,53.81,1.54,310.0,,,10.0,1.91,102558.62,102780.54
KSJC,12/30/2020 11:50 PST,102776.84,11.0,,53.81,2.06,310.0,,,10.0,1.91,102558.62,102780.54
KSJC,12/30/2020 11:55 PST,102776.84,11.0,,53.81,1.54,320.0,,,10.0,1.91,102558.62,102780.54
KSJC,12/30/2020 12:00 PST,102742.98,11.0,,53.81,1.54,310.0,,,10.0,1.91,102524.83,102746.68
KSJC,12/30/2020 12:05 PST,102742.98,12.0,,50.37,2.06,360.0,,,10.0,1.91,102524.83,102745.9
KSJC,12/30/2020 12:10 PST,102709.12,12.0,,50.37,0.0,0.0,,,10.0,1.91,102491.04,102712.04
KSJC,12/30/2020 12:15 PST,102709.12,12.0,,54.08,1.54,350.0,,,10.0,2.92,102491.04,102712.04
KSJC,12/30/2020 12:20 PST,102709.12,12.0,,54.08,2.06,350.0,,,10.0,2.92,102491.04,102712.04
KSJC,12/30/2020 12:25 PST,102675.25,12.0,,54.08,1.54,310.0,,,10.0,2.92,102457.24,102678.16
KSJC,12/30/2020 12:30 PST,102675.25,12.0,,54.08,2.06,300.0,,,10.0,2.92,102457.24,102678.16
KSJC,12/30/2020 12:35 PST,102675.25,13.0,,50.65,0.0,0.0,,,10.0,2.92,102457.24,102677.39
KSJC,12/30/2020 12:40 PST,102641.39,13.0,,50.65,0.0,0.0,,,10.0,2.92,102423.45,102643.53
KSJC,12/30/2020 12:45 PST,102641.39,13.0,,54.35,0.0,0.0,,,10.0,3.92,102423.45,102643.53
KSJC,12/30/2020 12:50 PST,102641.39,13.0,,54.35,2.06,300.0,,,10.0,3.92,102423.45,102643.53
KSJC,12/30/2020 12:53 PST,102607.53,12.8,3.9,54.68,2.06,320.0,102610.0,,10.0,3.82,102389.66,102609.82
KSJC,12/30/2020 12:55 PST,102607.53,13.0,,50.65,1.54,320.0,,,10.0,2.92,102389.66,102609.66
KSJC,12/30/2020 13:00 PST,102641.39,13.0,,50.65,3.09,310.0,,,10.0,2.92,102423.45,102643.53
KSJC,12/30/2020 13:05 PST,102641.39,13.0,,50.65,2.57,330.0,,,10.0,2.92,102423.45,102643.53
KSJC,12/30/2020 13:10 PST,102641.39,13.0,,50.65,3.09,330.0,,,10.0,2.92,102423.45,102643.53
KSJC,12/30/2020 13:15 PST,102607.53,13.0,,50.65,3.09,340.0,,,10.0,2.92,102389.66,102609.66
KSJC,12/30/2020 13:20 PST,102607.53,13.0,,50.65,2.57,330.0,,,10.0,2.92,102389.66,102609.66
KSJC,12/30/2020 13:25 PST,102607.53,13.0,,50.65,2.06,310.0,,,10.0,2.92,102389.66,102609.66
KSJC,12/30/2020 13:30 PST,102607.53,13.0,,50.65,2.57,300.0,,,10.0,2.92,102389.66,102609.66
